,symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime,rise
359,sz123195,蓝晓转02,129.700,29.700,29.700,129.700,129.701,100.000,130.000,130.000,129.000,304097,39380510,123195,15:00:03,29.7
379,sz127029,中钢转债,205.222,12.326,6.390,205.222,205.234,192.896,195.000,209.500,192.632,17887648,3647303191,127029,15:00:03,6.39
