,日期,债券代码,债券名称,买入价格,买入涨幅,买入时间,卖出价格,卖出涨幅,卖出时间,收益
0,20230403,113595,花王转债,132.2,0.041103,09:30:03,131.91,0.038819,09:30:15,-0.2284
1,20230403,123031,晶瑞转债,493.687,0.036084,09:30:18,492.001,0.032546,09:31:03,-0.3538
2,20230403,128137,洁美转债,139.8,0.035518,09:31:45,139.346,0.032155,09:32:03,-0.3363
3,20230403,118007,山石转债,147.658,0.035493,09:34:17,148.312,0.04008,09:35:20,0.4587
4,20230403,113615,金诚转债,288.36,0.03732,09:36:32,287.072,0.032687,09:36:44,-0.4633
5,20230403,128106,华统转债,227.044,0.036258,09:39:00,228.194,0.041507,09:41:18,0.5249
6,20230403,113646,永吉转债,150.327,0.035179,09:51:40,149.7,0.030861,09:53:13,-0.4318
7,20230403,113648,巨星转债,138.05,0.036091,09:53:28,138.68,0.04082,09:55:43,0.4729
8,20230403,113582,火炬转债,200.718,0.036043,09:57:59,200.167,0.033199,09:59:11,-0.2844
9,20230403,113039,嘉泽转债,153.3,0.036348,10:14:20,152.847,0.033285,10:16:18,-0.3063
10,20230403,123078,飞凯转债,161.36,0.035251,10:31:36,161.0,0.032941,10:33:24,-0.231
11,20230403,110091,合力转债,152.525,0.035506,10:40:59,152.706,0.036735,10:46:52,0.1229
12,20230403,113598,法兰转债,182.55,0.03632,10:46:17,181.868,0.032448,10:47:52,-0.3872
13,20230403,123025,精测转债,160.26,0.035514,10:55:00,159.964,0.033601,10:55:18,-0.1913
14,20230403,123177,测绘转债,150.285,0.035495,11:21:33,151.91,0.046691,13:15:00,1.1196
15,20230403,118023,广大转债,124.68,0.035698,13:16:22,125.4,0.041679,13:17:16,0.5981
16,20230403,128111,中矿转债,740.257,0.035961,13:18:45,740.037,0.035653,13:22:03,-0.0308
17,20230403,123164,法本转债,163.439,0.035119,13:44:21,163.25,0.033922,13:46:51,-0.1197
18,20230403,118021,新致转债,144.566,0.035115,14:02:08,144.617,0.03548,14:06:40,0.0365
19,20230403,128122,兴森转债,142.838,0.035717,14:05:27,142.877,0.036,14:08:27,0.0283
20,20230403,123176,精测转2,138.734,0.035378,14:22:45,138.0,0.0299,14:27:36,-0.5478
21,20230403,127064,杭氧转债,154.6,0.035784,14:45:54,155.699,0.043147,14:47:30,0.7363
22,20230404,113595,花王转债,143.2,0.03648,09:30:02,142.607,0.032187,09:30:08,-0.4293
