,日期,债券代码,债券名称,买入价格,买入涨幅,买入时间,卖出价格,卖出涨幅,卖出时间,收益
0,20230403,113595,花王转债,135.904,0.070273,09:39:27,135.58,0.067721,09:39:51,-0.2552
1,20230403,128106,华统转债,234.56,0.070562,10:00:15,233.571,0.066048,10:00:33,-0.4514
2,20230403,113039,嘉泽转债,158.28,0.070014,10:33:18,157.98,0.067986,10:35:09,-0.2028
3,20230403,110091,合力转债,157.648,0.070286,13:19:23,157.95,0.072337,13:21:05,0.2051
4,20230403,123177,测绘转债,155.356,0.070435,14:03:00,155.467,0.0712,14:05:15,0.0765
5,20230404,123050,聚飞转债,138.52,0.073809,09:30:12,137.68,0.067297,09:30:15,-0.6512
6,20230404,110052,贵广转债,170.221,0.07002,09:31:57,169.509,0.065544,09:32:09,-0.4476
7,20230404,123015,蓝盾转债,227.502,0.071563,09:32:54,232.0,0.092749,09:33:57,2.1186
8,20230404,123135,泰林转债,161.298,0.072381,09:46:15,160.539,0.067335,09:46:42,-0.5046
9,20230404,127014,北方转债,225.345,0.072137,10:30:54,224.499,0.068112,10:31:27,-0.4025
10,20230404,127064,杭氧转债,166.209,0.070362,14:03:15,166.12,0.069789,14:04:15,-0.0573
11,20230406,123177,测绘转债,179.509,0.075223,09:32:24,178.125,0.066933,09:32:48,-0.829
12,20230406,123025,精测转债,174.783,0.075578,10:13:39,175.992,0.083018,10:13:54,0.744
13,20230406,113621,彤程转债,166.327,0.070131,13:30:27,166.999,0.074454,13:32:18,0.4323
14,20230406,127064,杭氧转债,181.482,0.070105,13:51:45,181.419,0.069734,13:52:00,-0.0371
15,20230407,118030,睿创转债,187.369,0.199987,09:30:01,161.325,0.033191,09:30:04,-16.6796
16,20230407,118012,微芯转债,145.576,0.071308,09:40:16,145.898,0.073678,09:41:34,0.237
17,20230407,123098,一品转债,203.34,0.070211,10:10:57,202.815,0.067447,10:11:15,-0.2764
18,20230407,123014,凯发转债,149.36,0.070347,13:17:03,150.5,0.078517,13:22:27,0.817
19,20230410,123158,宙邦转债,154.977,0.077692,09:39:18,154.371,0.073478,09:39:21,-0.4214
20,20230410,111007,永和转债,188.0,0.070088,10:09:12,187.03,0.064567,10:09:15,-0.5521
21,20230410,113039,嘉泽转债,167.899,0.071707,10:18:46,167.655,0.070149,10:21:19,-0.1558
22,20230410,110058,永鼎转债,139.63,0.070191,10:34:07,139.08,0.065976,10:34:31,-0.4215
23,20230410,123025,精测转债,191.58,0.070274,13:21:09,191.496,0.069805,13:22:18,-0.0469
24,20230410,128095,恩捷转债,223.305,0.070462,14:14:27,222.386,0.066057,14:15:03,-0.4405
25,20230412,123025,精测转债,197.74,0.070025,10:50:39,196.995,0.065994,10:51:48,-0.4031
26,20230412,123112,万讯转债,150.158,0.070298,11:14:30,150.916,0.075701,11:15:42,0.5403
27,20230412,123176,精测转2,151.101,0.070153,13:34:51,150.8,0.068021,13:36:36,-0.2132
28,20230413,123181,亚康转债,202.0,0.070154,09:30:03,201.008,0.064898,09:30:09,-0.5256
29,20230413,110060,天路转债,139.543,0.071485,09:30:38,138.877,0.066371,09:30:41,-0.5114
30,20230413,128100,搜特转债,80.306,0.070295,10:02:54,80.199,0.068869,10:04:15,-0.1426
31,20230413,123015,蓝盾转债,224.011,0.070735,13:12:18,226.178,0.081093,13:13:15,1.0358
32,20230413,123136,城市转债,137.77,0.070469,14:11:51,138.793,0.078418,14:13:30,0.7949
33,20230414,123136,城市转债,144.7,0.070292,09:59:12,144.95,0.072141,10:00:30,0.1849
34,20230414,127037,银轮转债,162.459,0.070158,10:19:42,162.093,0.067747,10:20:24,-0.2411
35,20230414,113626,伯特转债,216.432,0.070591,10:33:12,215.531,0.066135,10:34:18,-0.4456
36,20230414,123025,精测转债,217.554,0.070068,11:06:36,218.087,0.072689,11:07:09,0.2621
37,20230414,123176,精测转2,164.199,0.070381,13:00:09,166.308,0.08413,13:02:03,1.3749
38,20230414,127079,华亚转债,151.9,0.071501,13:11:09,152.6,0.076438,13:13:21,0.4937
39,20230414,111010,立昂转债,148.8,0.070549,13:54:50,148.318,0.067081,13:55:47,-0.3468
40,20230414,127029,中钢转债,173.152,0.071454,14:14:00,172.438,0.067036,14:16:12,-0.4418
41,20230414,123164,法本转债,169.898,0.070056,14:42:21,171.201,0.078262,14:44:15,0.8206
42,20230414,123031,晶瑞转债,457.999,0.070133,14:52:21,456.119,0.06574,14:52:27,-0.4393
43,20230417,123164,法本转债,181.8,0.075771,09:30:15,181.716,0.075274,09:30:30,-0.0497
44,20230417,127069,小熊转债,155.56,0.072779,09:30:27,155.253,0.070662,09:30:33,-0.2117
45,20230417,110060,天路转债,157.92,0.072908,09:32:07,155.89,0.059116,09:32:10,-1.3792
46,20230417,127014,北方转债,248.523,0.070288,09:34:54,247.235,0.064741,09:35:09,-0.5547
47,20230417,113646,永吉转债,159.735,0.070543,10:01:43,162.08,0.086259,10:02:28,1.5716
48,20230417,110057,现代转债,146.13,0.071523,10:52:24,146.5,0.074237,10:53:15,0.2714
49,20230417,123046,天铁转债,424.92,0.072501,14:55:00,428.436,0.081375,14:56:03,0.8874
50,20230418,123156,博汇转债,154.277,0.071612,09:31:36,153.944,0.069299,09:31:54,-0.2313
51,20230418,110058,永鼎转债,139.368,0.071322,10:05:07,140.988,0.083775,10:05:49,1.2453
52,20230418,128041,盛路转债,351.227,0.070072,13:14:12,351.62,0.071269,13:15:03,0.1197
53,20230419,123025,精测转债,240.866,0.072906,09:37:45,241.246,0.074599,09:38:57,0.1693
54,20230419,113597,佳力转债,147.29,0.076144,10:04:19,147.3,0.076217,10:04:49,0.0073
55,20230419,123176,精测转2,183.101,0.070135,11:00:45,182.066,0.064086,11:01:12,-0.6049
56,20230419,128122,兴森转债,154.4,0.070786,13:00:03,153.63,0.065446,13:00:48,-0.534
57,20230419,110060,天路转债,154.99,0.076132,13:32:33,154.023,0.069418,13:32:39,-0.6714
58,20230420,123181,亚康转债,173.506,0.071005,10:47:24,173.227,0.069283,10:47:39,-0.1722
59,20230420,123025,精测转债,250.462,0.070575,13:02:21,249.439,0.066202,13:03:00,-0.4373
60,20230420,123176,精测转2,193.405,0.070905,14:12:48,192.996,0.068641,14:13:51,-0.2264
61,20230421,110058,永鼎转债,154.725,0.075422,09:31:05,154.049,0.070723,09:31:11,-0.4699
