,日期,债券代码,债券名称,买入价格,买入涨幅,买入时间,卖出价格,卖出涨幅,卖出时间,收益
0,20230403,128106,华统转债,237.89,0.08576,10:04:12,237.278,0.082967,10:05:21,-0.2793
1,20230403,113595,花王转债,137.781,0.085055,10:54:27,137.42,0.082212,10:56:54,-0.2843
2,20230403,110091,合力转债,159.91,0.085643,13:23:53,159.7,0.084217,13:27:13,-0.1426
3,20230403,123177,测绘转债,158.017,0.08877,14:11:12,157.384,0.084408,14:11:24,-0.4362
4,20230404,123015,蓝盾转债,230.801,0.087101,09:33:18,232.0,0.092749,09:33:57,0.5648
5,20230404,110052,贵广转债,173.191,0.088689,09:35:15,172.469,0.084151,09:35:18,-0.4538
6,20230404,127014,北方转债,228.291,0.086153,10:38:03,231.5,0.101421,10:40:48,1.5268
7,20230404,127064,杭氧转债,169.07,0.088787,14:10:39,168.366,0.084253,14:10:48,-0.4534
8,20230406,123025,精测转债,177.312,0.091141,10:13:48,175.992,0.083018,10:13:54,-0.8123
9,20230406,127064,杭氧转债,184.238,0.086356,13:53:27,183.309,0.080878,13:53:33,-0.5478
10,20230407,118030,睿创转债,187.369,0.199987,09:30:01,161.325,0.033191,09:30:04,-16.6796
11,20230412,123025,精测转债,200.74,0.086259,11:00:48,201.227,0.088895,11:03:06,0.2636
12,20230412,123112,万讯转债,152.313,0.085659,13:11:12,152.45,0.086635,13:13:42,0.0976
13,20230412,123176,精测转2,153.2,0.085019,14:41:24,153.801,0.089275,14:44:36,0.4256
14,20230413,128100,搜特转债,81.675,0.08854,10:05:12,81.383,0.084649,10:05:27,-0.3891
15,20230413,110060,天路转债,141.402,0.085759,10:12:47,141.032,0.082918,10:13:20,-0.2841
16,20230413,123015,蓝盾转债,227.516,0.087488,13:13:12,226.178,0.081093,13:13:15,-0.6395
17,20230414,127037,银轮转债,165.3,0.088872,10:26:03,165.715,0.091606,10:26:36,0.2734
18,20230414,123025,精测转债,220.795,0.086009,11:28:33,228.73,0.125038,13:00:30,3.9029
19,20230414,123176,精测转2,166.718,0.086802,13:01:39,166.308,0.08413,13:02:03,-0.2672
20,20230414,127079,华亚转债,153.839,0.085178,13:14:24,153.616,0.083605,13:15:15,-0.1573
21,20230417,127069,小熊转债,158.35,0.092019,09:30:48,157.716,0.087647,09:30:57,-0.4372
22,20230417,113646,永吉转债,162.08,0.086259,10:02:22,162.08,0.086259,10:02:28,0.0
23,20230417,127014,北方转债,252.0,0.085262,10:31:42,251.602,0.083548,10:32:39,-0.1714
24,20230417,123046,天铁转债,430.0,0.085323,14:55:27,428.436,0.081375,14:56:03,-0.3948
25,20230418,110058,永鼎转债,141.374,0.086742,10:05:37,140.988,0.083775,10:05:49,-0.2967
26,20230419,113597,佳力转债,148.93,0.088126,10:06:34,148.37,0.084035,10:06:46,-0.4091
27,20230419,123176,精测转2,185.662,0.085102,11:03:30,186.66,0.090935,11:04:36,0.5833
28,20230419,110060,天路转债,156.45,0.08627,13:35:57,156.1,0.083839,13:36:27,-0.2431
29,20230420,123181,亚康转债,175.817,0.08527,13:09:30,175.274,0.081919,13:10:12,-0.3351
30,20230420,123176,精测转2,195.993,0.085235,14:38:36,196.2,0.086382,14:39:09,0.1147
31,20230421,110058,永鼎转债,156.798,0.08983,09:32:38,156.497,0.087738,09:32:50,-0.2092
32,20230421,128025,特一转债,201.672,0.086045,10:53:42,201.238,0.083708,10:54:09,-0.2337
33,20230424,110058,永鼎转债,172.0,0.087089,09:30:17,175.001,0.106057,09:30:32,1.8968
34,20230424,128025,特一转债,212.751,0.085454,09:51:18,211.716,0.080173,09:51:48,-0.5281
35,20230424,128074,游族转债,140.54,0.085251,13:01:54,141.179,0.090185,13:03:15,0.4934
36,20230424,123046,天铁转债,479.8,0.086767,13:50:45,477.234,0.080955,13:50:51,-0.5812
37,20230424,123015,蓝盾转债,183.929,0.090885,14:19:30,183.05,0.085672,14:19:33,-0.5213
38,20230425,123015,蓝盾转债,172.184,0.089816,09:30:24,169.0,0.069664,09:30:27,-2.0152
39,20230426,123038,联得转债,144.299,0.086024,09:39:03,143.703,0.081539,09:39:09,-0.4485
40,20230426,123046,天铁转债,511.396,0.086894,13:00:33,510.963,0.085974,13:00:51,-0.092
41,20230426,113534,鼎胜转债,257.601,0.085017,13:18:52,256.786,0.081584,13:20:16,-0.3433
42,20230427,123181,亚康转债,162.427,0.087034,09:35:21,161.968,0.083962,09:36:00,-0.3072
43,20230427,123118,惠城转债,226.98,0.085007,09:51:21,226.827,0.084276,09:53:21,-0.0731
44,20230427,128100,搜特转债,69.121,0.087653,10:29:30,68.304,0.074797,10:29:36,-1.2856
45,20230427,127014,北方转债,248.4,0.085237,10:59:57,247.257,0.080243,11:00:39,-0.4994
46,20230428,110055,伊力转债,199.88,0.088188,09:31:00,198.834,0.082494,09:31:06,-0.5694
47,20230428,128100,搜特转债,71.384,0.087896,09:35:15,70.97,0.081587,09:35:24,-0.6309
48,20230428,128122,兴森转债,155.326,0.090978,09:37:45,156.026,0.095894,09:38:09,0.4916
49,20230428,123181,亚康转债,165.038,0.085374,10:30:18,166.22,0.093147,10:34:00,0.7773
50,20230428,128074,游族转债,151.254,0.089721,13:18:39,151.285,0.089944,13:19:09,0.0223
51,20230428,127014,北方转债,258.53,0.086221,13:29:15,257.266,0.080911,13:30:09,-0.531
