,日期,债券代码,债券名称,买入价格,买入涨幅,买入时间,卖出价格,卖出涨幅,卖出时间,收益
0,20230403,113595,花王转债,137.199,0.080471,10:00:03,136.82,0.077487,10:03:18,-0.2984
1,20230403,128106,华统转债,236.837,0.080954,10:03:00,236.163,0.077878,10:03:33,-0.3076
2,20230403,110091,合力转债,159.147,0.080463,13:22:35,158.537,0.076322,13:22:52,-0.4141
3,20230403,123177,测绘转债,156.795,0.08035,14:08:42,157.384,0.084408,14:11:24,0.4058
4,20230404,123015,蓝盾转债,230.159,0.084077,09:33:12,232.0,0.092749,09:33:57,0.8672
5,20230404,110052,贵广转债,173.191,0.088689,09:35:15,172.469,0.084151,09:35:18,-0.4538
6,20230404,127014,北方转债,227.057,0.080282,10:33:48,226.711,0.078636,10:34:39,-0.1646
7,20230404,127064,杭氧转债,168.068,0.082334,14:10:33,168.366,0.084253,14:10:48,0.1919
8,20230406,123025,精测转债,175.673,0.081055,10:13:45,175.992,0.083018,10:13:54,0.1963
9,20230406,127064,杭氧转债,183.275,0.080678,13:53:15,183.309,0.080878,13:53:33,0.02
10,20230407,118030,睿创转债,187.369,0.199987,09:30:01,161.325,0.033191,09:30:04,-16.6796
11,20230407,118012,微芯转债,146.761,0.080028,09:49:10,146.1,0.075164,09:49:31,-0.4864
12,20230407,123014,凯发转债,150.912,0.081469,13:20:24,150.5,0.078517,13:22:27,-0.2952
13,20230410,123158,宙邦转债,155.733,0.08295,09:39:45,154.209,0.072352,09:39:51,-1.0598
14,20230410,123025,精测转债,193.5,0.081,15:00:03,193.5,0.081,00:00:00,0.0
15,20230412,123025,精测转债,199.744,0.08087,10:59:06,201.227,0.088895,11:03:06,0.8025
16,20230412,123112,万讯转债,151.551,0.080227,11:15:30,150.916,0.075701,11:15:42,-0.4526
17,20230412,123176,精测转2,152.546,0.080387,14:38:45,152.115,0.077335,14:39:24,-0.3052
18,20230413,123181,亚康转债,203.978,0.080633,09:30:39,202.818,0.074487,09:30:48,-0.6146
19,20230413,110060,天路转债,140.739,0.080668,09:58:08,140.312,0.077389,09:59:56,-0.3279
20,20230413,128100,搜特转债,81.136,0.081357,10:04:33,81.383,0.084649,10:05:27,0.3292
21,20230413,123015,蓝盾转债,225.989,0.08019,13:13:09,226.178,0.081093,13:13:15,0.0903
22,20230413,123136,城市转债,139.035,0.080298,14:13:00,138.793,0.078418,14:13:30,-0.188
23,20230414,127037,银轮转债,163.963,0.080065,10:26:00,165.715,0.091606,10:26:36,1.1541
24,20230414,123025,精测转债,219.66,0.080426,11:08:24,218.542,0.074927,11:09:09,-0.5499
25,20230414,123176,精测转2,166.093,0.082728,13:01:21,166.308,0.08413,13:02:03,0.1402
26,20230414,127079,华亚转债,153.223,0.080833,13:12:51,152.6,0.076438,13:13:21,-0.4395
27,20230414,123164,法本转债,171.592,0.080725,14:43:15,171.201,0.078262,14:44:15,-0.2463
