,日期,债券代码,债券名称,买入价格,买入涨幅,买入时间,卖出价格,卖出涨幅,卖出时间,收益
0,20230403,113595,花王转债,136.607,0.075809,09:44:03,136.03,0.071265,09:44:42,-0.4544
1,20230403,128106,华统转债,235.74,0.075947,10:02:06,235.183,0.073405,10:02:18,-0.2542
2,20230403,110091,合力转债,158.38,0.075256,13:20:41,157.95,0.072337,13:21:05,-0.2919
3,20230403,123177,测绘转债,156.033,0.0751,14:04:54,155.467,0.0712,14:05:15,-0.39
4,20230404,123015,蓝盾转债,228.287,0.07526,09:33:00,232.0,0.092749,09:33:57,1.7489
5,20230404,110052,贵广转债,173.191,0.088689,09:35:15,172.469,0.084151,09:35:18,-0.4538
6,20230404,127014,北方转债,226.194,0.076176,10:33:15,225.921,0.074878,10:33:30,-0.1298
7,20230404,123050,聚飞转债,138.687,0.075103,13:11:06,138.144,0.070894,13:11:33,-0.4209
8,20230404,127064,杭氧转债,167.0,0.075456,14:08:06,166.357,0.071316,14:08:45,-0.414
9,20230406,123177,测绘转债,179.509,0.075223,09:32:24,178.125,0.066933,09:32:48,-0.829
10,20230406,123025,精测转债,174.783,0.075578,10:13:39,175.992,0.083018,10:13:54,0.744
11,20230406,113621,彤程转债,167.11,0.075169,13:31:42,166.999,0.074454,13:32:18,-0.0715
12,20230406,127064,杭氧转债,182.338,0.075153,13:51:54,181.419,0.069734,13:52:00,-0.5419
13,20230407,118030,睿创转债,187.369,0.199987,09:30:01,161.325,0.033191,09:30:04,-16.6796
14,20230407,118012,微芯转债,146.51,0.078181,09:41:07,145.898,0.073678,09:41:34,-0.4503
15,20230407,123014,凯发转债,150.409,0.077864,13:20:03,150.5,0.078517,13:22:27,0.0653
16,20230410,123158,宙邦转债,154.977,0.077692,09:39:18,154.371,0.073478,09:39:21,-0.4214
17,20230410,113039,嘉泽转债,168.719,0.076941,10:21:46,168.224,0.073781,10:22:22,-0.316
18,20230410,128095,恩捷转债,224.539,0.076378,14:33:15,223.8,0.072835,14:35:06,-0.3543
19,20230410,123025,精测转债,192.5,0.075413,14:55:42,193.5,0.081,00:00:00,0.5587
20,20230412,123025,精测转债,198.987,0.076773,10:58:45,201.227,0.088895,11:03:06,1.2122
21,20230412,123112,万讯转债,150.881,0.075452,11:15:09,150.916,0.075701,11:15:42,0.0249
22,20230412,123176,精测转2,151.789,0.075026,14:31:30,152.115,0.077335,14:39:24,0.2309
23,20230413,123181,亚康转债,203.595,0.078604,09:30:36,202.818,0.074487,09:30:48,-0.4117
24,20230413,110060,天路转债,140.24,0.076836,09:40:41,139.776,0.073274,09:41:02,-0.3562
25,20230413,128100,搜特转债,80.954,0.078931,10:04:24,81.383,0.084649,10:05:27,0.5718
26,20230413,123015,蓝盾转债,225.262,0.076715,13:12:30,226.178,0.081093,13:13:15,0.4378
27,20230413,123136,城市转债,138.576,0.076731,14:12:42,138.793,0.078418,14:13:30,0.1687
28,20230414,123136,城市转债,145.343,0.075048,09:59:57,144.95,0.072141,10:00:30,-0.2907
29,20230414,127037,银轮转债,163.288,0.075618,10:25:36,165.715,0.091606,10:26:36,1.5988
30,20230414,123025,精测转债,218.868,0.076531,11:06:48,218.087,0.072689,11:07:09,-0.3842
31,20230414,123176,精测转2,165.041,0.07587,13:00:24,166.308,0.08413,13:02:03,0.826
32,20230414,127079,华亚转债,152.481,0.075599,13:12:24,152.6,0.076438,13:13:21,0.0839
33,20230414,123164,法本转债,170.932,0.076568,14:42:42,171.201,0.078262,14:44:15,0.1694
34,20230417,123164,法本转债,181.8,0.075771,09:30:15,181.716,0.075274,09:30:30,-0.0497
35,20230417,127069,小熊转债,156.116,0.076613,09:30:30,155.253,0.070662,09:30:33,-0.5951
36,20230417,113646,永吉转债,160.465,0.075435,10:02:01,162.08,0.086259,10:02:28,1.0824
37,20230417,127014,北方转债,249.697,0.075344,10:29:51,249.34,0.073806,10:30:21,-0.1538
38,20230417,110057,现代转债,147.01,0.077976,10:53:03,146.5,0.074237,10:53:15,-0.3739
39,20230417,123046,天铁转债,426.234,0.075817,14:55:03,428.436,0.081375,14:56:03,0.5558
40,20230418,123156,博汇转债,154.793,0.075196,09:38:45,154.336,0.072022,09:39:30,-0.3174
41,20230418,110058,永鼎转债,140.0,0.07618,10:05:10,140.988,0.083775,10:05:49,0.7595
42,20230418,128041,盛路转债,353.018,0.075528,13:14:30,351.62,0.071269,13:15:03,-0.4259
43,20230419,123025,精测转债,241.393,0.075254,09:38:18,241.246,0.074599,09:38:57,-0.0655
44,20230419,113597,佳力转债,147.29,0.076144,10:04:19,147.3,0.076217,10:04:49,0.0073
45,20230419,123176,精测转2,184.303,0.07716,11:03:09,186.66,0.090935,11:04:36,1.3775
46,20230419,110060,天路转债,154.99,0.076132,13:32:33,154.023,0.069418,13:32:39,-0.6714
47,20230420,123181,亚康转债,174.165,0.075073,11:25:48,173.417,0.070456,11:26:33,-0.4617
48,20230420,123176,精测转2,194.251,0.07559,14:33:39,194.073,0.074604,14:34:15,-0.0986
49,20230420,123025,精测转债,252.102,0.077585,14:46:27,250.826,0.072131,14:46:45,-0.5454
50,20230421,110058,永鼎转债,154.725,0.075422,09:31:05,154.049,0.070723,09:31:11,-0.4699
51,20230421,128025,特一转债,199.65,0.075156,10:49:18,199.462,0.074144,10:49:45,-0.1012
52,20230424,110058,永鼎转债,170.1,0.075081,09:30:14,175.001,0.106057,09:30:32,3.0976
53,20230424,128025,特一转债,211.247,0.07778,09:43:06,210.329,0.073097,09:43:45,-0.4683
54,20230424,128074,游族转债,139.325,0.075869,11:25:27,139.435,0.076718,11:27:03,0.0849
55,20230424,113578,全筑转债,95.949,0.075455,13:36:10,96.13,0.077483,13:36:49,0.2028
