,日期,债券代码,债券名称,买入价格,买入涨幅,买入时间,卖出价格,卖出涨幅,卖出时间,收益
0,20230403,113595,花王转债,135.26,0.065201,09:30:39,134.7,0.060791,09:30:45,-0.441
1,20230403,128106,华统转债,233.995,0.067983,09:53:33,232.999,0.063437,09:53:48,-0.4546
2,20230403,113039,嘉泽转债,158.0,0.068121,10:31:57,157.501,0.064748,10:32:27,-0.3373
3,20230403,110091,合力转债,157.104,0.066593,13:03:47,156.6,0.063171,13:05:01,-0.3422
4,20230403,123177,测绘转债,154.625,0.065398,13:58:42,155.467,0.0712,14:05:15,0.5802
5,20230404,123050,聚飞转债,137.5,0.065902,09:30:03,137.68,0.067297,09:30:15,0.1395
6,20230404,110052,贵广转债,169.5,0.065487,09:31:54,169.509,0.065544,09:32:09,0.0057
7,20230404,123015,蓝盾转债,226.539,0.067027,09:32:24,225.867,0.063862,09:32:33,-0.3165
8,20230404,123135,泰林转债,160.19,0.065014,09:42:15,159.754,0.062116,09:42:39,-0.2898
9,20230404,127014,北方转债,224.327,0.067294,10:29:09,224.499,0.068112,10:31:27,0.0818
10,20230404,127064,杭氧转债,165.745,0.067374,13:57:06,164.858,0.061662,13:57:18,-0.5712
11,20230406,123177,测绘转债,178.084,0.066688,09:32:18,178.125,0.066933,09:32:48,0.0245
12,20230406,123078,飞凯转债,173.338,0.065977,10:04:00,172.892,0.063235,10:04:09,-0.2742
13,20230406,123025,精测转债,173.201,0.065843,10:13:36,175.992,0.083018,10:13:54,1.7175
14,20230406,127038,国微转债,164.48,0.065019,10:36:00,163.723,0.060117,10:36:09,-0.4902
15,20230406,113621,彤程转债,165.6,0.065453,13:30:03,166.999,0.074454,13:32:18,0.9001
16,20230406,127064,杭氧转债,180.682,0.065388,13:51:24,181.419,0.069734,13:52:00,0.4346
17,20230406,110044,广电转债,227.899,0.069838,14:20:32,225.07,0.056558,14:20:35,-1.328
18,20230406,123118,惠城转债,233.276,0.067581,14:29:27,232.302,0.063123,14:30:21,-0.4458
19,20230407,118030,睿创转债,187.369,0.199987,09:30:01,161.325,0.033191,09:30:04,-16.6796
20,20230407,127052,西子转债,125.885,0.065299,09:30:27,125.206,0.059553,09:30:30,-0.5746
21,20230407,118012,微芯转债,145.16,0.068247,09:37:04,144.29,0.061844,09:37:07,-0.6403
22,20230407,123098,一品转债,202.449,0.065521,10:10:15,202.815,0.067447,10:11:15,0.1926
23,20230407,123014,凯发转债,148.67,0.065402,13:15:33,150.5,0.078517,13:22:27,1.3115
24,20230410,123158,宙邦转债,154.977,0.077692,09:39:18,154.371,0.073478,09:39:21,-0.4214
25,20230410,111007,永和转债,187.444,0.066923,10:08:45,186.497,0.061533,10:08:51,-0.539
26,20230410,113039,嘉泽转债,167.43,0.068713,10:18:04,166.742,0.064321,10:18:22,-0.4392
27,20230410,110058,永鼎转债,139.0,0.065362,10:33:26,139.08,0.065976,10:34:31,0.0614
28,20230410,123025,精测转债,190.756,0.06567,13:03:00,189.972,0.061291,13:03:09,-0.4379
29,20230410,128095,恩捷转债,222.483,0.066522,13:12:27,221.172,0.060237,13:13:09,-0.6285
30,20230411,113615,金诚转债,293.086,0.065813,13:05:18,291.8,0.061136,13:05:36,-0.4677
31,20230412,123025,精测转债,196.83,0.065101,10:48:57,196.995,0.065994,10:51:48,0.0893
32,20230412,123112,万讯转债,149.517,0.065729,11:09:21,150.916,0.075701,11:15:42,0.9972
33,20230412,123176,精测转2,150.4,0.065188,13:34:12,150.8,0.068021,13:36:36,0.2833
34,20230413,123181,亚康转债,202.0,0.070154,09:30:03,201.008,0.064898,09:30:09,-0.5256
35,20230413,110060,天路转债,139.149,0.068459,09:30:32,138.877,0.066371,09:30:41,-0.2088
36,20230413,128100,搜特转债,79.965,0.06575,09:48:03,79.649,0.061538,09:48:06,-0.4212
37,20230413,123015,蓝盾转债,223.464,0.068121,13:12:12,226.178,0.081093,13:13:15,1.2972
38,20230413,123136,城市转债,137.137,0.06555,14:10:12,137.118,0.065403,14:11:00,-0.0147
39,20230414,127058,科伦转债,194.882,0.067804,09:30:30,194.034,0.063157,09:30:36,-0.4647
40,20230414,123136,城市转债,144.066,0.065602,09:58:24,144.95,0.072141,10:00:30,0.6539
41,20230414,127037,银轮转债,162.021,0.067272,10:19:27,162.093,0.067747,10:20:24,0.0475
42,20230414,113626,伯特转债,215.49,0.065932,10:32:09,214.721,0.062128,10:32:24,-0.3804
43,20230414,128111,中矿转债,537.2,0.065801,10:37:24,536.338,0.064091,10:38:03,-0.171
44,20230414,123025,精测转债,216.6,0.065375,11:06:21,218.087,0.072689,11:07:09,0.7314
45,20230414,123176,精测转2,163.421,0.06531,11:28:33,162.924,0.06207,11:28:57,-0.324
46,20230414,127079,华亚转债,151.078,0.065702,13:09:51,150.508,0.061681,13:10:06,-0.4021
47,20230414,111010,立昂转债,148.063,0.065247,13:52:38,148.318,0.067081,13:55:47,0.1834
48,20230414,127029,中钢转债,172.112,0.065019,14:12:57,172.438,0.067036,14:16:12,0.2017
49,20230414,123164,法本转债,169.566,0.067965,14:41:00,171.201,0.078262,14:44:15,1.0297
50,20230414,123031,晶瑞转债,456.342,0.066261,14:52:15,456.119,0.06574,14:52:27,-0.0521
51,20230417,123164,法本转债,179.98,0.065001,09:30:03,181.716,0.075274,09:30:30,1.0273
