,日期,债券代码,债券名称,买入价格,买入涨幅,买入时间,卖出价格,卖出涨幅,卖出时间,收益
0,20230403,113595,花王转债,133.8,0.053703,09:30:24,134.568,0.059752,09:30:57,0.6049
1,20230403,128106,华统转债,229.084,0.045569,09:40:39,227.939,0.040343,09:41:33,-0.5226
2,20230403,113648,巨星转债,139.238,0.045007,09:55:22,138.356,0.038388,09:55:55,-0.6619
3,20230403,113582,火炬转债,202.5,0.045241,10:04:59,201.521,0.040188,10:07:44,-0.5053
4,20230403,113039,嘉泽转债,154.75,0.04615,10:18:36,156.422,0.057453,10:20:15,1.1303
5,20230403,110091,合力转债,153.986,0.045425,10:56:47,154.042,0.045805,11:05:40,0.038
6,20230403,123177,测绘转债,151.779,0.045789,13:10:12,151.665,0.045003,13:15:42,-0.0786
7,20230403,118023,广大转债,125.808,0.045069,13:17:04,125.013,0.038465,13:17:19,-0.6604
8,20230403,123078,飞凯转债,163.025,0.045933,13:49:45,162.414,0.042013,13:57:48,-0.392
9,20230403,123164,法本转债,165.004,0.045031,14:00:24,165.657,0.049167,14:22:03,0.4136
10,20230403,118021,新致转债,145.948,0.04501,14:22:48,145.7,0.043235,14:47:26,-0.1775
11,20230403,113598,法兰转债,184.183,0.04559,14:25:44,184.38,0.046708,14:33:20,0.1118
12,20230403,128111,中矿转债,747.0,0.045398,14:27:03,744.656,0.042117,14:37:03,-0.3281
13,20230403,123025,精测转债,161.865,0.045885,14:29:42,161.383,0.04277,14:38:51,-0.3115
14,20230403,127064,杭氧转债,156.335,0.047408,14:47:21,155.699,0.043147,14:47:30,-0.4261
15,20230404,110052,贵广转债,166.248,0.045045,09:30:36,166.301,0.045378,09:31:09,0.0333
16,20230404,127064,杭氧转债,162.344,0.045472,09:31:30,163.131,0.050541,09:31:45,0.5069
17,20230404,123015,蓝盾转债,222.103,0.046133,09:31:48,231.849,0.092037,09:34:03,4.5904
18,20230404,123135,泰林转债,157.408,0.046518,09:33:06,156.655,0.041512,09:33:09,-0.5006
19,20230404,128114,正邦转债,96.897,0.046078,09:49:12,96.5,0.041792,09:51:54,-0.4286
20,20230404,127014,北方转债,219.666,0.045118,10:14:03,220.0,0.046707,10:17:45,0.1589
21,20230404,127029,中钢转债,155.876,0.045612,10:31:54,157.664,0.057606,10:39:21,1.1994
22,20230404,123050,聚飞转债,138.586,0.07432,11:27:18,137.88,0.068847,11:27:27,-0.5473
23,20230406,123177,测绘转债,174.83,0.047197,09:30:21,173.526,0.039386,09:30:24,-0.7811
24,20230406,123015,蓝盾转债,233.494,0.046967,09:30:30,233.778,0.04824,09:31:12,0.1273
25,20230406,123078,飞凯转债,170.35,0.047602,10:03:15,172.652,0.061759,10:04:12,1.4157
26,20230406,128122,兴森转债,147.024,0.046019,10:08:42,148.5,0.05652,10:10:09,1.0501
27,20230406,123025,精测转债,170.053,0.046471,10:13:24,175.992,0.083018,10:13:54,3.6547
28,20230406,128091,新天转债,200.658,0.045412,10:19:12,199.55,0.039639,10:20:24,-0.5773
