,债券名称,买入时间,买入价格,买入时涨幅,卖出时间,卖出价格,卖出时涨幅,收益
113588,润达转债,2023-06-08 03:14:16,138.336,5.27,2023-06-08 03:26:16,138.336,5.27,
128030,天康转债,2023-06-08 03:16:43,247.7,4.62,2023-06-08 03:26:24,247.7,4.62,
