,债券名称,买入时间,买入价格,买入时涨幅,卖出时间,卖出价格,卖出时涨幅,收益
113578,全筑转债,2023-06-01 13:23:12.519074,69.805,4.87,,,,
123181,亚康转债,2023-06-01 13:28:10.054117,167.919,4.08,,,,
