,债券名称,买入时间,买入价格,买入时涨幅,卖出时间,卖出价格,卖出时涨幅,收益
123187,超达转债,2023-06-07 09:30:21,169.25,4.83,2023-06-07 09:31:10,167.825,3.95,
123136,城市转债,2023-06-07 09:32:08,138.424,3.52,,,,
113578,全筑转债,2023-06-07 09:36:40,74.55,3.46,2023-06-07 09:37:33,74.0,2.69,
113595,花王转债,2023-06-07 09:39:49,109.023,3.87,2023-06-07 09:40:14,108.159,3.04,
