,时间,开盘,收盘,最高,最低,成交量,成交额,最新价
0,2023-05-08 09:30:00,195.0,195.0,195.0,195.0,784,1528800.0,195.0
1,2023-05-08 09:31:00,196.36,198.3,198.8,195.056,20559,40493386.0,196.8861
2,2023-05-08 09:32:00,199.001,200.025,200.9,198.932,29062,57996678.0,198.4289
3,2023-05-08 09:33:00,199.3,196.911,200.04,196.911,15597,31057027.0,198.5923
4,2023-05-08 09:34:00,196.528,198.106,199.183,196.407,20242,40127614.0,198.5095
5,2023-05-08 09:35:00,198.366,197.946,198.738,197.511,15978,31678452.0,198.4709
6,2023-05-08 09:36:00,198.301,199.58,199.58,197.927,12873,25596453.0,198.512
7,2023-05-08 09:37:00,199.8,199.752,200.361,199.712,18880,37768491.0,198.7281
8,2023-05-08 09:38:00,199.712,198.078,199.712,197.895,10729,21305655.0,198.7165
9,2023-05-08 09:39:00,198.111,197.771,198.877,197.719,5135,10172918.0,198.6957
10,2023-05-08 09:40:00,198.102,196.657,198.102,196.599,9445,18631181.0,198.6103
11,2023-05-08 09:41:00,197.123,196.023,197.591,196.023,7318,14409586.0,198.5355
12,2023-05-08 09:42:00,196.105,195.384,196.6,194.847,7694,15053621.0,198.4083
13,2023-05-08 09:43:00,195.193,195.674,195.89,195.193,7940,15528737.0,198.2849
14,2023-05-08 09:44:00,195.502,193.5,195.712,193.36,6074,11813423.0,198.1625
15,2023-05-08 09:45:00,193.514,195.356,195.7,192.632,4731,9186272.0,198.0649
16,2023-05-08 09:46:00,195.55,194.427,195.589,194.019,6706,13075110.0,197.9612
17,2023-05-08 09:47:00,194.42,195.071,195.115,194.42,2837,5530995.0,197.9192
18,2023-05-08 09:48:00,195.048,194.813,195.34,194.655,2657,5180691.0,197.8812
19,2023-05-08 09:49:00,194.864,194.82,194.942,194.531,1674,3260296.0,197.8559
20,2023-05-08 09:50:00,195.173,194.975,195.703,194.6,6367,12423810.0,197.7745
21,2023-05-08 09:51:00,194.736,195.824,196.057,194.7,5144,10060414.0,197.7227
22,2023-05-08 09:52:00,195.718,194.816,195.718,194.55,2612,5092544.0,197.6902
23,2023-05-08 09:53:00,195.02,195.0,195.233,194.674,3003,5853543.0,197.6531
24,2023-05-08 09:54:00,195.0,195.0,195.503,194.687,4758,9279326.0,197.5984
25,2023-05-08 09:55:00,194.848,193.963,194.848,193.8,3779,7347769.0,197.5471
26,2023-05-08 09:56:00,193.942,194.542,194.743,193.861,2500,4853835.0,197.511
27,2023-05-08 09:57:00,194.53,194.964,194.992,194.342,1521,2963157.0,197.4937
28,2023-05-08 09:58:00,194.9,195.686,195.878,194.863,3623,7086324.0,197.465
29,2023-05-08 09:59:00,195.781,196.148,196.264,195.633,3668,7187167.0,197.4421
30,2023-05-08 10:00:00,196.2,195.97,196.43,195.931,2619,5137010.0,197.4283
31,2023-05-08 10:01:00,195.924,196.053,196.2,195.702,2385,4673426.0,197.4141
32,2023-05-08 10:02:00,195.908,196.18,196.452,195.847,2867,5624784.0,197.4002
33,2023-05-08 10:03:00,196.184,196.467,196.6,196.184,2784,5466015.0,197.3886
34,2023-05-08 10:04:00,196.397,196.195,196.483,196.111,1486,2917254.0,197.3823
35,2023-05-08 10:05:00,196.2,195.761,196.384,195.709,1399,2741553.0,197.3746
36,2023-05-08 10:06:00,196.131,196.159,196.201,195.78,867,1699332.0,197.37
37,2023-05-08 10:07:00,196.149,195.811,196.199,195.676,1201,2352201.0,197.363
38,2023-05-08 10:08:00,195.819,196.551,196.58,195.769,1503,2951579.0,197.3574
39,2023-05-08 10:09:00,196.485,196.897,196.917,196.485,2847,5601781.0,197.3509
40,2023-05-08 10:10:00,196.85,196.6,197.1,196.6,3159,6220604.0,197.3458
41,2023-05-08 10:11:00,196.531,195.849,196.531,195.829,1533,3006965.0,197.339
42,2023-05-08 10:12:00,195.775,195.519,196.052,195.519,1786,3496511.0,197.3286
43,2023-05-08 10:13:00,195.595,195.437,195.595,195.0,2591,5056905.0,197.3081
44,2023-05-08 10:14:00,195.498,196.562,196.581,195.498,2758,5410122.0,197.2967
45,2023-05-08 10:15:00,196.62,196.364,196.684,195.996,1750,3437648.0,197.2912
46,2023-05-08 10:16:00,196.312,196.08,196.313,195.952,677,1328116.0,197.2885
47,2023-05-08 10:17:00,196.497,196.9,196.9,196.349,1848,3633073.0,197.2837
48,2023-05-08 10:18:00,196.808,196.581,196.851,196.433,2090,4109349.0,197.2788
49,2023-05-08 10:19:00,196.588,196.645,196.965,196.588,3526,6940447.0,197.2733
50,2023-05-08 10:20:00,196.776,197.15,197.365,196.73,3223,6352139.0,197.2713
51,2023-05-08 10:21:00,197.107,197.542,197.542,196.641,4303,8480252.0,197.2684
52,2023-05-08 10:22:00,197.515,197.037,197.618,196.93,3979,7853526.0,197.2699
53,2023-05-08 10:23:00,197.103,196.931,197.103,196.502,2393,4708574.0,197.2658
54,2023-05-08 10:24:00,196.834,199.377,199.377,196.712,6274,12426752.0,197.2823
55,2023-05-08 10:25:00,199.335,198.337,199.417,198.232,9561,19007736.0,197.3284
56,2023-05-08 10:26:00,198.816,199.55,199.55,198.467,5981,11896360.0,197.3577
57,2023-05-08 10:27:00,199.465,199.663,199.763,198.814,6041,12038193.0,197.3931
58,2023-05-08 10:28:00,199.632,199.875,199.983,199.362,10571,21121980.0,197.4688
59,2023-05-08 10:29:00,199.707,199.917,199.992,199.603,4783,9557458.0,197.5016
60,2023-05-08 10:30:00,199.984,199.766,199.984,199.1,7853,15668304.0,197.5468
61,2023-05-08 10:31:00,199.839,200.013,200.544,199.839,6152,12319314.0,197.5934
62,2023-05-08 10:32:00,200.003,199.968,200.19,199.788,4237,8472664.0,197.6213
63,2023-05-08 10:33:00,199.85,200.511,200.696,199.85,7526,15088400.0,197.6799
64,2023-05-08 10:34:00,200.51,198.817,200.51,198.732,5103,10185919.0,197.7062
65,2023-05-08 10:35:00,198.732,198.76,199.159,198.446,4323,8593292.0,197.7185
66,2023-05-08 10:36:00,198.715,200.85,200.97,198.592,7136,14268222.0,197.7601
67,2023-05-08 10:37:00,200.929,202.365,202.555,200.929,16070,32451810.0,197.9274
68,2023-05-08 10:38:00,202.377,202.213,202.377,201.819,9934,20082987.0,198.0298
69,2023-05-08 10:39:00,202.231,203.155,204.5,201.999,17259,35047292.0,198.2328
70,2023-05-08 10:40:00,202.667,201.99,202.667,201.306,10228,20652437.0,198.3188
71,2023-05-08 10:41:00,201.969,201.164,201.99,201.028,5627,11336201.0,198.3586
72,2023-05-08 10:42:00,201.177,201.049,201.582,201.02,6268,12616840.0,198.3994
73,2023-05-08 10:43:00,201.187,201.386,201.483,200.811,4672,9395981.0,198.4273
74,2023-05-08 10:44:00,201.4,202.7,203.34,201.4,12084,24515748.0,198.5424
75,2023-05-08 10:45:00,202.877,203.66,204.634,202.8,12500,25458619.0,198.676
76,2023-05-08 10:46:00,203.543,201.8,203.576,201.8,13514,27418554.0,198.7915
77,2023-05-08 10:47:00,201.953,201.724,201.953,201.223,5779,11643368.0,198.8226
78,2023-05-08 10:48:00,201.672,201.5,201.706,201.294,7417,14946088.0,198.862
79,2023-05-08 10:49:00,201.599,202.51,202.591,201.54,5999,12128930.0,198.9009
80,2023-05-08 10:50:00,202.602,202.223,202.773,202.223,5716,11576135.0,198.9409
