,债券名称,债券代码,买入时间,买入价格,买入时涨幅,卖出时间,卖出价格,卖出时涨幅,收益
0,溢利转债,123018,2023-05-09 11:18,253.28,3.375,2023-05-09 13:29,253.15,3.3219,-0.051327
1,中银转债,113057,2023-05-09 09:31,137.0,3.9343,2023-05-09 10:19,141.5,7.3482,3.284672
2,交建转债,128132,2023-05-09 11:12,135.129,4.6214,2023-05-09 13:23,136.3,5.528,0.866579
