,债券名称,买入时间,买入价格,买入时涨幅,卖出时间,卖出价格,卖出时涨幅,收益
118021,新致转债,2023-05-31 09:30:21.181283,168.876,4.98,,,,
110060,天路转债,2023-05-31 09:31:41.896092,131.1,3.37,2023-05-31 09:31:54.479128,129.797,2.34,
113665,汇通转债,2023-05-31 09:32:42.288558,116.41,3.63,2023-05-31 09:32:59.096697,114.785,2.18,
110077,洪城转债,2023-05-31 09:34:46.231985,138.829,3.31,,,,
127080,声迅转债,2023-05-31 09:37:37.659885,194.359,3.38,2023-05-31 09:37:52.179127,192.87,2.59,
128053,尚荣转债,2023-05-31 09:41:20.304263,129.603,3.35,2023-05-31 09:42:16.814846,128.692,2.62,
123061,航新转债,2023-05-31 10:38:55.116473,130.209,5.13,,,,
