,债券名称,买入时间,买入价格,买入时涨幅,卖出时间,卖出价格,卖出时涨幅,收益
113578,全筑转债,2023-06-06 09:30:31,71.55,4.13,2023-06-06 09:34:15,71.0,3.33,
123118,惠城转债,2023-06-06 09:30:50,336.731,4.25,2023-06-06 09:48:03,334.208,3.47,
111008,沿浦转债,2023-06-06 09:32:35,124.47,3.37,2023-06-06 09:34:31,123.57,2.63,
123138,丝路转债,2023-06-06 09:35:12,145.153,3.34,,,,
113025,明泰转债,2023-06-06 09:36:59,205.0,3.45,2023-06-06 09:46:25,203.467,2.68,
127037,银轮转债,2023-06-06 09:37:42,168.832,3.31,2023-06-06 09:39:17,167.793,2.67,
123191,智尚转债,2023-06-06 09:44:01,186.024,4.41,,,,
113574,华体转债,2023-06-06 09:47:29,117.02,3.79,2023-06-06 09:49:36,116.142,3.01,
