,债券名称,买入时间,买入价格,买入时涨幅,卖出时间,卖出价格,卖出时涨幅,收益
113582,XD火炬转,2023-05-29 09:31:20.604386,154.053,5.38,,,,
123181,亚康转债,2023-05-29 09:32:18.309770,157.694,3.34,2023-05-29 09:34:05.584707,155.798,2.1,
110048,福能转债,2023-05-29 09:35:03.162749,193.476,3.45,2023-05-29 09:39:02.144322,191.609,2.46,
123118,惠城转债,2023-05-29 09:41:20.062939,320.09,3.59,,,,
