,债券名称,买入时间,买入价格,买入时涨幅,卖出时间,卖出价格,卖出时涨幅,收益
123197,光力转债,2023-06-05 09:30:28.037234,158.292,4.21,2023-06-05 09:31:07.822630,157.147,3.45,
123181,亚康转债,2023-06-05 09:30:41.315661,172.927,3.92,,,,
